"Source Name","Sample Name.x","Characteristics: organism","Factor Value: Spaceflight.x","Factor Value: Ecotype.x","Characteristics: genotype.x","Characteristics: Material Type.x","Characteristics: age.x","Characteristics: Seed Source.x","Protocol REF...10.x","Parameter Value: Canister and Position","Parameter Value: Hardware.x","Parameter Value: Growth Temperature.x","Parameter Value: growth environment.x","Parameter Value: Growth Medium.x","Parameter Value: light source.x","Parameter Value: light cycle.x","Parameter Value: Growth Time.x","Parameter Value: Quantity of Growth Medium","Parameter Value: container","Parameter Value: Number of seeds per container.x","Parameter Value: Container Diameter","Protocol REF...23.x","Parameter Value: Sample storage temperature.x","Parameter Value: Age at sample collection","Parameter Value: Sample Preservation Method.x","Comment: Original Submitted Sample Name.x","Sample Name.y","Comment: Original Submitted Sample Name.y","Characteristics: Organism.x","Characteristics: Material Type.y","Characteristics: Variety","Characteristics: genotype.y","Characteristics: developmental stage","Characteristics: age.y","Characteristics: Seed Source.y","Protocol REF...11","Factor Value: Spaceflight.y","Parameter Value: Hardware.y","Comment: Initiation Date","Comment: Completion Date","Parameter Value: light source.y","Parameter Value: Growth Temperature.y","Parameter Value: Growth Medium.y","Parameter Value: Light quality","Parameter Value: Light intensity.x","Parameter Value: light cycle.y","Parameter Value: Growth Time.y","Protocol REF...23.y","Parameter Value: sample preservation temperature","Factor Value: Sample Preservation Method","Sample Name.x","Characteristics: Organism.y","Factor Value: Ecotype.y","Factor Value: Spaceflight.x","Factor Value: Treatment","Characteristics: organism part","Characteristics: Seed Source.x","Characteristics: stratification exposure","Protocol REF...10.y","Parameter Value: light source.x","Parameter Value: Hardware.x","Parameter Value: growth environment.y","Parameter Value: Growth Time.x","Protocol REF...15.x","Parameter Value: Sample Preservation Method.y","Parameter Value: Sample Storage Temperature.x","Sample Name.y","Characteristics: Organism.x","Characteristics: ecotype.x","Factor Value: Organism Part","Factor Value: Spaceflight.y","Characteristics: Material Type.x","Protocol REF...8","Parameter Value: light source.y","Parameter Value: Light intensity.y","Parameter Value: Hardware.y","Parameter Value: growth environment.x","Parameter Value: growth time","Protocol REF...14","Protocol REF...15.y","Parameter Value: Age at harvest","Parameter Value: Sample preservation method","Parameter Value: Sample storage temperature.y","Comment: Seed source","Comment: Sample name notes","Comment: Original Submitted Sample Name","Sample Name","Characteristics: Organism.y","Characteristics: ecotype.y","Characteristics: Seed Source.y","Characteristics: Material Type.y","Characteristics: Launch Mission","Factor Value: Spaceflight","Factor Value: Genotype","Protocol REF...10","Parameter Value: Hardware","Parameter Value: light cycle","Parameter Value: growth environment.y","Parameter Value: Growth Medium","Parameter Value: Growth Time.y","Parameter Value: Quantity of growth medium","Parameter Value: Number of seeds per container.y","Parameter Value: light regimen","Protocol REF...19","Comment: Sample Description","Protocol REF...21","Parameter Value: Sample Preservation Method","Parameter Value: Sample Storage Temperature.y","Protocol REF...24","Parameter Value: ionizing radiation","Parameter Value: vehicle","Parameter Value: absorbed radiation dose","Parameter Value: absorbed radiation dose rate","Parameter Value: exposure duration","Parameter Value: ionizing radiation categorized by source"
"Group-1.Subject-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_FLT_Rep3_G1S3_membrane","Group-1.Subject-3.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Space Flight","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Group-1.Subject-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_FLT_Rep3_G1S3_soluble","Group-1.Subject-3.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Space Flight","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Group-2.Subject-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_GC_Rep1_G2S1","Group-2.Subject-1.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Ground Control","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Group-2.Subject-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_GC_Rep1_G2S1_membrane","Group-2.Subject-1.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Ground Control","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Group-2.Subject-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_GC_Rep1_G2S1_soluble","Group-2.Subject-1.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Ground Control","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Group-2.Subject-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_GC_Rep2_G2S2","Group-2.Subject-2.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Ground Control","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Group-2.Subject-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_GC_Rep2_G2S2_membrane","Group-2.Subject-2.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Ground Control","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Group-2.Subject-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_GC_Rep2_G2S2_soluble","Group-2.Subject-2.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Ground Control","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Group-2.Subject-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_GC_Rep3_G2S3","Group-2.Subject-3.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Ground Control","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Group-2.Subject-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_GC_Rep3_G2S3_membrane","Group-2.Subject-3.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Ground Control","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Group-2.Subject-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atha_WT-Col-0_sl_GC_Rep3_G2S3_soluble","Group-2.Subject-3.seedlings.Pooled","Arabidopsis thaliana","Seedling","Col-0","Wild Type","Seedlings","76 hour","Arabidopsis Biological Resource Center, Columbus, Ohio, USA","growth protocol","Ground Control","BRIC-PDFU","10-Jan-15","13-Jan-15","continuous dark (no light) regimen","22 degree Celsius","0.5x Murashige and Skoog media supplemented with 1% sucrose and 1% agar","Not applicable","Not applicable","dark 24 hour","76 hour","sample collection protocol","-80 degree Celsius","RNALater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517002","Arabidopsis thaliana","Wassilewskija ecotype","root","Ground Control","root","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISSES","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Ground Control, Root Rep. 1 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517003","Arabidopsis thaliana","Wassilewskija ecotype","root","Ground Control","root","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISSES","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Ground Control, Root Rep. 2 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517004","Arabidopsis thaliana","Wassilewskija ecotype","root","Ground Control","root","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISSES","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Ground Control, Root Rep. 3 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517005","Arabidopsis thaliana","Wassilewskija ecotype","root","Space Flight","root","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISS","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Spaceflight, Root Rep. 1 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517006","Arabidopsis thaliana","Wassilewskija ecotype","root","Space Flight","root","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISS","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Spaceflight, Root Rep. 2 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517007","Arabidopsis thaliana","Wassilewskija ecotype","root","Space Flight","root","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISS","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Spaceflight, Root Rep. 3 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517008","Arabidopsis thaliana","Wassilewskija ecotype","leaf","Ground Control","leaf","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISSES","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Ground Control, Leaf Rep. 1 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517009","Arabidopsis thaliana","Wassilewskija ecotype","leaf","Ground Control","leaf","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISSES","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Ground Control, Leaf Rep. 2 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517010","Arabidopsis thaliana","Wassilewskija ecotype","leaf","Ground Control","leaf","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISSES","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Ground Control, Leaf Rep. 3 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517011","Arabidopsis thaliana","Wassilewskija ecotype","leaf","Space Flight","leaf","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISS","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Spaceflight, Leaf Rep. 1 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517012","Arabidopsis thaliana","Wassilewskija ecotype","leaf","Space Flight","leaf","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISS","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Spaceflight, Leaf Rep. 2 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM2517013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM2517013","Arabidopsis thaliana","Wassilewskija ecotype","leaf","Space Flight","leaf","growth protocol","light-emitting diode","100-135 micromoles/m^2/s","Vegetable Production System (VEGGIE)","ISS","11 day","treatment protocol","sample collection protocol","11 day","RNAlater","-80 degree Celsius","ABRC stock CS915 (www.arabidopsis.org)","Spaceflight, Leaf Rep. 3 [BS]","Not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRE1_FA6_S38_L004_R1_001 (ire1a ire1bF_1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486057","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","ire1a-4 ire1b-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","ire1a-4 ire1b-2_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","Not Applicable"
